año,semana,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
2020,10,0,1,2,0,0,2,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,10
2020,11,1,5,3,0,1,0,1,3,1,2,1,2,1,2,2,1,12,2,7,3,0,1,51
2020,12,0,18,7,6,8,5,7,10,3,12,4,2,7,3,10,8,31,9,16,5,5,9,185
2020,13,3,14,5,6,12,8,7,13,4,13,11,4,11,5,13,4,28,11,14,1,4,8,199
2020,14,3,9,2,3,18,10,5,10,2,12,4,1,7,11,16,12,26,3,19,1,7,5,186
2020,15,2,4,2,3,12,18,7,4,9,14,11,3,12,10,12,7,17,9,14,2,10,1,183
2020,16,2,13,7,3,9,16,5,16,7,13,19,8,11,10,18,4,20,20,14,4,13,0,232
2020,17,6,10,9,6,13,25,5,14,3,25,29,11,22,22,11,24,18,12,16,2,13,0,296
2020,18,7,5,13,11,13,15,6,8,15,29,40,6,27,30,13,19,15,38,14,7,14,6,351
2020,19,5,35,11,8,18,16,5,16,20,55,64,15,39,29,22,37,20,12,27,7,19,2,482
2020,20,2,16,17,13,20,34,16,27,16,72,72,21,52,57,38,36,32,22,28,5,33,7,636
2020,21,4,24,26,16,24,33,21,34,26,62,94,29,71,74,58,31,38,27,56,14,39,4,805
2020,22,4,17,30,21,31,22,28,49,19,55,159,30,64,36,55,25,55,34,30,8,45,2,819
2020,23,17,42,30,24,42,43,34,51,15,60,286,65,75,60,62,47,60,53,52,11,47,7,1183
2020,24,11,51,35,33,57,62,26,64,26,88,280,51,70,63,76,59,91,39,84,15,84,10,1375
2020,25,15,51,56,44,61,83,41,83,38,81,107,37,120,77,95,96,126,63,88,33,115,8,1518
2020,26,22,89,78,55,117,116,69,98,47,128,114,68,146,112,141,98,150,131,129,30,169,17,2124
2020,27,39,147,90,82,145,183,97,138,80,137,141,123,162,146,166,128,226,134,173,44,168,33,2782
2020,28,57,202,140,108,205,213,108,185,94,208,197,114,212,210,197,158,336,146,218,81,165,39,3593
2020,29,69,186,142,105,212,224,96,160,91,192,176,99,257,167,182,155,313,152,241,94,149,40,3502
2020,30,71,183,118,99,198,251,104,131,88,201,158,99,228,157,172,150,274,139,227,80,164,34,3326
2020,31,59,151,112,90,158,217,115,154,90,195,135,91,183,137,141,107,270,117,172,50,138,47,2929
2020,32,53,125,107,77,152,193,79,126,72,167,92,81,151,130,115,90,179,113,150,54,95,56,2457
2020,33,45,110,71,86,132,160,76,102,60,107,101,70,119,110,94,96,180,111,122,50,92,23,2117
2020,34,33,96,76,73,120,145,83,104,55,117,99,61,112,101,82,90,160,88,147,38,67,21,1968
2020,35,35,97,65,71,96,107,58,111,47,88,78,51,96,66,57,61,158,77,129,50,60,22,1680
2020,36,36,108,95,55,116,118,59,92,78,111,82,63,101,81,98,84,163,91,144,35,64,22,1896
2020,37,46,119,78,50,137,147,64,128,64,154,90,52,120,76,90,87,199,85,155,23,85,32,2081
2020,38,49,124,86,58,111,161,105,132,66,124,117,55,114,88,81,106,189,91,138,29,71,17,2112
2020,39,46,146,80,76,126,146,70,156,88,136,124,52,141,81,91,93,232,92,182,36,83,18,2295
2020,40,34,120,89,82,120,150,74,144,63,145,98,64,95,77,72,103,227,92,166,38,73,21,2147
2020,41,43,135,65,73,139,141,72,161,65,150,106,45,104,80,89,80,262,100,176,33,65,21,2205
2020,42,45,157,105,80,158,140,73,174,78,143,137,79,121,81,92,117,259,116,182,35,81,25,2478
2020,43,55,159,99,76,134,146,77,176,69,170,105,89,124,95,99,97,242,108,186,28,86,45,2465
2020,44,42,146,96,81,131,124,72,127,74,126,129,80,113,91,81,93,263,114,215,21,65,44,2328
2020,45,41,196,120,84,148,204,72,160,75,184,115,84,134,84,104,111,268,133,227,40,85,45,2714
2020,46,57,250,125,122,177,191,77,197,83,200,124,81,161,106,105,120,319,157,271,57,94,50,3124
2020,47,49,313,140,124,205,218,90,200,101,231,160,97,142,114,115,122,319,141,306,43,88,64,3382
2020,48,54,260,137,121,206,207,85,204,85,177,148,94,168,112,130,143,390,164,296,68,103,57,3409
2020,49,58,205,115,99,194,180,77,172,85,176,106,78,163,75,112,98,318,141,238,67,59,59,2875
2020,50,53,234,117,101,188,189,86,137,82,164,103,79,159,92,97,119,312,149,257,47,67,55,2887
2020,51,109,333,188,133,226,256,135,217,113,288,177,118,228,120,152,199,478,265,356,68,133,88,4380
2020,52,89,274,122,108,211,185,106,193,106,230,168,100,142,90,128,140,364,179,282,48,89,68,3422
2020,53,65,197,156,97,234,189,102,197,120,228,149,102,129,99,133,132,400,179,254,45,107,58,3372
2021,1,30,82,39,41,69,80,29,84,41,84,66,41,50,43,37,39,146,59,110,20,55,23,1268
2021,2,108,474,209,216,375,400,179,378,209,416,316,158,297,231,236,263,693,344,450,99,213,87,6351
2021,3,112,325,163,164,277,331,171,286,126,316,282,182,290,211,223,222,508,304,326,67,199,58,5143
2021,4,114,256,123,136,189,304,144,241,127,252,201,143,216,201,192,169,369,256,208,80,161,45,4127
