Cant;PAIS;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;Antigua and Barbuda;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;56;12;7;4;2;8;20;5;0;0;0;0;0;17;2;3;7;10;3;37;14;103;1;8;1223;409
1;Argentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;822;3;1700;11;214;135;3284;34;181;173;40;26606;1185;213;2803;9294;3270;4774;79455;557;1829;3220;59358
2;Dominican Republic;54;619;435;538;260;92;6;20;160;7;39;24;107;0;0;211;72;512;2873;1059;3404;3588;3118;5911;2340;2776;5913;9403;4150;7297;11060;2232;9284;16503;6274;17048;6645;1363;1558;20183;3925
3;Curaçao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;10;0;0;0;0;265;0;0;0;0;1722;1553;524;568;194;0;0;0;0;0;0
4;Aruba;0;0;0;0;0;24000;0;0;0;0;0;0;0;0;0;37;10;0;0;130;76;0;25;0;173;0;5;0;0;845;1700;3025;0;528;400;335;1319;1734;9;106;11
5;Saint Vincent and the Grenadines;0;0;0;0;0;0;0;0;1;0;9;1;7;7;0;224;190;3;88;8;5;3;123;3;4;8;5;2;6;10;217;47;91;127;117;13;89;3;4;11;1155
6;Bahamas;0;0;0;0;0;0;0;0;0;87;2;0;0;0;0;1;0;0;336;0;0;0;0;180;1;0;1;0;1;1;10;6997;3;3;146;10;82;14;10;27;3
7;Ecuador;0;0;0;0;0;0;0;0;420025;19;302;94;137;9015;8145;6607;5189;3871;4606;2901;22934;10864;5675;9903;6101;11797;5871;10253;1879;4400;17516;7567;19367;11662;15531;42499;13612;11387;3094;8416;16570
8;Sint Maarten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;13;11;0;29;8;9
9;Suriname;0;0;219;0;0;0;0;0;0;0;0;0;0;0;0;344;677;90;1140;695;1069;748;1081;284;368;2712;253;41;12;120;93;386;781;21;23;15;6;1;123;86;563
10;Nicaragua;0;0;0;0;0;17476;484;64;203;659;4137;1885;5495;8938;20469;18454;2743;3058;13160;10401;6681;1646;2000;2564;942;1558;1298;1264;1390;17060;5157;11881;30210;77179;35425;49326;88463;64712;58746;186173;53953
11;El Salvador;2060;5185;5166;3814;560;425;916;2836;1786;518;2381;1273;884;9015;8145;9529;789;423;1686;556;2837;1039;17902;7298;13190;15083;21843;12376;5774;14928;22221;20623;43163;28877;53460;50169;8789;4297;8448;27470;5450
12;Barbados;0;6;99;63;63;0;0;78;10;45;236;21;4;1;0;974;130;196;852;688;744;1029;740;557;349;320;1;0;1;55;2966;739;912;2848;1728;391;1433;398;67;44;301
13;Bonaire;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Trinidad and Tobago;0;14;16;118;31;7;145;125;80;11;526;36;116;38;0;4295;3983;745;2984;1200;2017;2158;5973;2209;497;411;36;47;2358;24;4737;1242;0;0;148;1687;1801;300;123;416;59
15;Turks and Caicos Islands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;24;14;5;252;331;484;210;2;19;142
