"","PAIS","POB","AREA_KMS2","AREA_MI2"
"0","Aruba","67074",182.926,70.628
"1","Antigua and Barbuda","65212",462.378,178.524
"2","Argentina","33796870",2781013,1073749
"3","Anguilla","9208",86.296,33.319
"4","Barbados","260627",439.942,169.862
"5","Bahamas","272209",12867.78,4968.25
"6","Belize","207586",22174.82,8561.698
"7","Bolivia","7648315",1090353,420985.312
"8","Brazil","151525400",8507128,3284602
"9","Canada","28402320",9904700,3824205
"10","Chile","13772710",742298.188,286601.312
"11","Cayman Islands","31777",277.005,106.951
"12","Colombia","34414590",1141962,440911.5
"13","Costa Rica","3319438",51608.039,19925.859
"14","Cuba","11102280",110443,42642.039
"15","Dominica","70671",731.997,282.624
"16","Dominican Republic","7759957",48445.039,18704.631
"17","Ecuador","10541820",256932,99201.453
"18","El Salvador","5752470",20696.51,7990.922
"19","French Guiana","130219",83811.133,32359.48
"20","Falkland Islands (Islas Malvinas)","2136",11514.78,4445.856
"21","Grenada","95608",366.852,141.642
"22","Greenland","55413",2142661,827281.375
"23","Guadeloupe","410638",1743.315,673.094
"24","Guatemala","10321270",109501.797,42278.641
"25","Guyana","754931",211241.297,81560.273
"26","Haiti","7044890",27156.939,10485.29
"27","Honduras","5367067",112852,43572.16
"28","Jamaica","2407607",11043.86,4264.034
"29","Martinique","374574",1100.634,424.955
"30","Montserrat","12771",105.428,40.706
"31","Mexico","92380850",1962939,757890.812
"32","Suriname","428026",145497.5,56176.59
"33","Netherlands Antilles","191572",804.379,310.571
"34","Nicaragua","4275103",129047.398,49825.199
"35","Paraguay","4773464",400089.406,154474.5
"36","Peru","24496400",1296912,500737.688
"37","Panama","2562045",74697.109,28840.551
"38","Puerto Rico","3647931",9062.777,3499.138
"39","Saint Kitts and Nevis","42908",275.222,106.263
"40","Saint Lucia","141743",605.378,233.736
"41","Trinidad and Tobago","1292000",5151.649,1989.052
"42","United States of America","258833000",9450720,3648923
"43","Uruguay","3084641",178140.797,68780.156
"44","Saint Vincent and the Grenadines","110459",389.617,150.431
"45","Venezuela","19857850",916560.5,353884
"46","British Virgin Islands","18194",162.548,62.76
"47","Virgin Islands","101614",348.734,134.646
