Column1,comuna,nombre,area,perimetro,Column2,,,,,
0,6,Comuna 6,5385422149,12496285,0.027285248,,,,,
1,4,Comuna 4,4524983049,11430279,0.0049547,,,,,
2,5,Comuna 5,4197624307,8441174,0.008337998,,,,,
3,7,Comuna 7,5107266513,12547823,0.006684852,,,,,
4,8,Comuna 8,5266743456,12178376,0.004855353,,,,,
5,9,Comuna 9,2899408689,7983949,0.009301814,,,,,
6,21,Comuna 21,4828926999,16149224,0.00037752,,,,,
7,13,Comuna 13,473726183,10030224,0.005733678,,,,,
8,12,Comuna 12,2329397942,8254095,0.012174864,,,,,
9,10,Comuna 10,4297730149,9404276,0.015238962,,,,,
10,20,Comuna 20,2439498349,8448577,5.42491E-05,,,,,
11,16,Comuna 16,4275833686,1170041,0.014648116,,,,,
12,15,Comuna 15,4060432724,10425092,0.004630556,,,,,
13,17,Comuna 17,12555929024,16841538,0.020985276,,,,,
14,18,Comuna 18,5428611017,11681301,0.009384595,,,,,
15,22,Comuna 22,10589124983,15552137,0.000569677,,,,,
16,2,Comuna 2,10861027461,26477419,0.030116788,,,,,
17,1,Comuna 1,3842242577,15518149,0.000201847,,,,,
18,3,Comuna 3,3704462889,11003318,0.016942096,,,,,
19,19,Comuna 19,11318090525,26480361,0.009214982,,,,,
20,14,Comuna 14,4543322069,8937073,0.000992303,,,,,
21,11,Comuna 11,3699600968,9315019,0.012558455,,,,,
